1;2016-01-24 00:00:00;Panne ERDF;2;2147483647
2;2016-01-25 00:00:00;Disjoncteur;4;2147483647
3;2016-01-26 00:00:00;Panne ERDF;3;2147483647
4;2016-01-27 00:00:00;Disjoncteur;1;2147483647
5;2016-01-28 00:00:00;Disjoncteur;1;2147483647
6;2016-01-29 00:00:00;Panne ERDF;2;2147483647
7;2016-01-30 00:00:00;Disjoncteur;2;2147483647
8;2016-01-31 00:00:00;Panne ERDF;4;2147483647
9;2016-02-01 00:00:00;Panne ERDF;3;2147483647
10;2016-02-02 00:00:00;Disjoncteur;1;2147483647
11;2016-02-03 00:00:00;Panne ERDF;2;2147483647
12;2016-02-04 15:11:23;Disjoncteur;2;2147483647
13;2016-02-05 13:12:11;Disjoncteur;2;2147483647
14;2016-02-06 07:32:57;Panne ERDF;4;2147483647
